127.0.0.1 - - [05/Mar/2025:13:33:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:17 +0530] "GET /ToDo_list/bootstrap.min.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:17 +0530] "GET /ToDo_list/popper.min.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:17 +0530] "GET /ToDo_list/bootstrap.min.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:17 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:24 +0530] "GET /ToDo_list/bootstrap.min.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:24 +0530] "GET /ToDo_list/popper.min.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:24 +0530] "GET /ToDo_list/bootstrap.min.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [05/Mar/2025:13:33:27 +0530] "POST /ToDo_list/LoginServlet HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:17 +0530] "GET /ToDo_list/popper.min.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:17 +0530] "GET /ToDo_list/bootstrap.min.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:17 +0530] "GET /ToDo_list/bootstrap.min.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:20 +0530] "GET /ToDo_list/bootstrap.min.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:20 +0530] "GET /ToDo_list/popper.min.js HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:20 +0530] "GET /ToDo_list/bootstrap.min.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:05:22 +0530] "POST /ToDo_list/LoginServlet HTTP/1.1" 200 2856
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:06:36 +0530] "GET /ToDo_list/MarkTaskCompletedServlet?regId=1&taskId=4 HTTP/1.1" 200 2837
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:06:39 +0530] "GET /ToDo_list/MarkTaskCompletedServlet?regId=1&taskId=5 HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [05/Mar/2025:15:07:00 +0530] "POST /ToDo_list/AddTaskServlet HTTP/1.1" 200 3093
